nama,tipe,provinsi,lat,lon,sumber
Aceh Barat,kabupaten,Aceh,4.45,96.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Aceh Besar,kabupaten,Aceh,5.3833,95.5167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Aceh Jaya,kabupaten,Aceh,4.7833,95.6333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Aceh Selatan,kabupaten,Aceh,3.25,97.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Aceh Singkil,kabupaten,Aceh,2.3333,97.8,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Aceh Tengah,kabupaten,Aceh,4.6283,96.8453,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bener Meriah,kabupaten,Aceh,4.7333,96.8667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Banda Aceh,kota,Aceh,5.5483,95.3238,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Lhokseumawe,kota,Aceh,5.18,97.14,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Sabang,kota,Aceh,5.8933,95.3167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Badung,kabupaten,Bali,-8.5833,115.1833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bangli,kabupaten,Bali,-8.45,115.35,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Buleleng,kabupaten,Bali,-8.1167,115.0833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Denpasar,kota,Bali,-8.6705,115.2126,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Gianyar,kabupaten,Bali,-8.5333,115.3333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jembrana,kabupaten,Bali,-8.3,114.6667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Karangasem,kabupaten,Bali,-8.45,115.6167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Klungkung,kabupaten,Bali,-8.5333,115.4,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Denpasar,kota,Bali,-8.6705,115.2126,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tabanan,kabupaten,Bali,-8.5333,115.1167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Cilegon,kota,Banten,-6.0167,106.05,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Serang,kota,Banten,-6.12,106.15,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Tangerang,kota,Banten,-6.1783,106.6319,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Tangerang Selatan,kota,Banten,-6.2889,106.7181,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lebak,kabupaten,Banten,-6.65,106.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pandeglang,kabupaten,Banten,-6.3083,106.1067,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
